"user_name","purchase_count"
"$@|\|TO$|-|",10
"8309-873146",2
"8360101472",2
"8826277722",3
"A",2
"A K Bindhani",4
"A R",2
"A Vase",5
"A.M.",2
"ABHAY SINGH",3
"AJAY KUMAR",3
"AKSHAY KHOWAL",2
"AMAN KUMAR",3
"ANIKET",3
"ANURAG",2
"AR",4
"ARUN KUMAR",2
"ASIF ANSARI",6
"ASR",4
"ATHARVA BONDRE",3
"AV",7
"Aakaash Ramchandani",4
"Aakash",2
"Aamir",2
"Aashiq",4
"Aashna Nasta",3
"Aasim Ansari",2
"Abbimaniu Singh",4
"Abdul Maktedar",3
"Abdulkadir",2
"Abdulla A N",3
"Abe Ralte",2
"Abeendranath K.",2
"Abhay Goyal",2
"Abhi Khaire",2
"Abhilasha",3
"Abhiram Ganesh",2
"Abhishek",11
"Abhishek Chauhan",2
"Abhishek Kumar",4
"Abhishek Nigam",2
"Abhishek Patil",2
"Abhishek Thapar",3
"Abhishek kumar",2
"Abid Hossain",3
"Abiram",4
"Actual user",5
"Adarsh",4
"Adarsh gupta",8
"Adhikundhan",2
"Adil",2
"Aditya",3
"Aditya Gupta",3
"Aditya Kumar",12
"Aditya Singh",4
"Aditya sikarwar",2
"Adnan",5
"Adnan Malik",2
"Adv. Manish kotwani",4
"Advaid Haridas",3
"Adwait Kulkarni",2
"Agnish Mallick",3
"Ahsan Shaikh",5
"Ajay",10
"Ajay Kumar",2
"Ajay Singh",2
"Ajay Wadke",3
"Ajaybabu.O.M",6
"Ajeet",2
"Ajinkya",4
"Ajinkya M K",2
"Ajit",2
"Ajit Kumar Rai",2
"Ajitesh Kushwaha",2
"Ajwadh a.",7
"Ak",3
"Akash",4
"Akash Jindal",3
"Akash Sharma",2
"Akash Thakur",10
"Akash Yadav",2
"Akshat Sharma",2
"Akshay",9
"Akshay Talla",3
"Akshay wani",4
"Alok",2
"Altaf Khan",2
"Aman",8
"Aman Kumar",2
"Aman Rizvi",2
"Aman singh",2
"Amazon Customer",630
"Amazon customer",5
"Amazon user",3
"AmazonCustomer",2
"Amazon_Shopper",3
"Ambalika Sarkar",3
"Amit",13
"Amit Benwal",2
"Amit Chotrani",2
"Amit Kumar",5
"Amit Sharma",3
"Amit Singh",3
"Amit T.",2
"Amit katoch",3
"Amit sahu",3
"Amita",2
"Amitabha",2
"Amith Kumar M",2
"Amjath sp",2
"Amol Basutkar",4
"Amol Manjrekar",5
"Amol kale",2
"Amresh singh",2
"Amrut K.",7
"Ana",3
"Anand",12
"Anand Patel",2
"Anand k.",3
"Anand sarma",2
"Ananta Bhaskar Somawanshi",3
"Ananya",2
"Andy",3
"Aneesh Mohan",2
"Aniket",5
"Anil",5
"Anil Kumar",3
"Anil p.",3
"Anindya",3
"Anirban",2
"Anirban B.",4
"Aniruddha Joshi",2
"Anirudh Sood",3
"Anirvan Kule",2
"Anish",2
"Anjali",2
"Anjaneyulu",3
"Anjeela",2
"Ankit",11
"Ankit Kumar Singh",2
"Ankita",2
"Ankita Dwivedi",2
"Anku kumar",2
"Ankur Awasthi",2
"Anmol",3
"Anonymous",8
"Anoop Chandran",2
"Anoop Sharma",3
"Anshita",4
"Anshu",2
"Anshul",2
"Anshuman",2
"Anthony S.",2
"Anto RK",4
"Anu",5
"Anu B",5
"Anu Manoj",2
"Anubhab",2
"Anudeepika Ankam",2
"Anuj",4
"Anuj Chauhan",2
"Anuja Lad",2
"Anup Roy",2
"Anupam",3
"Anuradha Banerjee",3
"Anurag",2
"Anurag kumar",3
"Aparna",2
"App",2
"Apurav",2
"Apurva",2
"Arbind Kumar",3
"Archana",4
"ArdKn",10
"Arghya Roy",2
"Arjun Sen",2
"Arjun Thomas",2
"Arjun vaidya",2
"Arty",2
"Arul",5
"Arun",15
"Arun Kalkunte",2
"Arun S.",3
"Arun Sharma",3
"Arun k.",4
"Arun prasath",2
"Arun verma",3
"Arv",4
"Arvind",4
"Arvind kumar",3
"Aryan",2
"Ashfaq Ahmed",2
"Ashish",6
"Ashish Raj Arora",5
"Ashish Singh",2
"Ashok",2
"Ashok kumar",2
"Ashok.",2
"Ashutosh",8
"Ashwin",3
"Ashwin Showi",2
"Asif ikbal",3
"Asim",2
"Asp",7
"Atesham",2
"Atif",2
"Atul kumar",2
"Atulya Sinha",3
"Avii",2
"Avijit Basak",3
"Avinash",3
"Avinash kumar",2
"Avinash singh",2
"Avishek Majumdar",2
"Avninder Singh",4
"Ayush",7
"Ayush kumar Prajapati",2
"Azarudeen",2
"Azhar JuMan",3
"B J SHIVA SHANKAR",2
"BALASUNDHARAM B",2
"BG",2
"BKBasu",2
"BOOPATHI",3
"BUNGA DINESH",2
"Babu Singh Rathore",3
"Balaji",3
"Basha_Neerati",2
"Bhanu",4
"Bhanu Vardhan",2
"BharanI",7
"Bhargav",3
"Bhavesh Bodat",3
"Bhavy kachhadiya",3
"Bhawna",2
"Bhosale Techno Solution Pvt Ltd",3
"Bhupendra",2
"Bhupendra Verma",2
"Bibin",2
"Biju Abraham Thomas",3
"Binu",4
"Bipin",2
"Birendra ku Dash",3
"Biswajit Udayabhanu",3
"Blackspade",3
"Bobby",2
"Boopathi",4
"Brajesh Jha",2
"Bristidev Burman",2
"Bsharat Ali",2
"Bunty s",2
"Burger Planet",10
"Buyer",3
"C",3
"C.Rajeshkannan",2
"CK",4
"CSK_OFFICIAL",3
"Chandani Dinodia",4
"Chandra kant",3
"Chandra sekhar sahoo",2
"Chandra.g",2
"Chandrasekara rajasekara reddy",3
"Chandu",2
"Cheekoti Rameshwara murthy",2
"Chetan",2
"Chinmayee Ninawe",5
"Chintada Bhaskar Rao",5
"Chiranjeevi",4
"Chitra",6
"Customer",9
"D MANJUNATHAN",2
"D Ravi",2
"D.Dutta",2
"D.RAGHUL",8
"DEEPAK  MAZUMDAR",2
"DEEPAN CHAKRAVARTHI R",2
"DHONDU",2
"DRISHTI VASHISTH GUPTA",6
"Darpan chauhan",2
"Das",4
"Dass",3
"Datta Dhanwate",2
"Debabrata Das",2
"Debasish Saha",2
"Deep",2
"Deepaak Singh",3
"Deepak",17
"Deepak Kanwaliya",2
"Deepak Karki",2
"Deepak Kumar",4
"Deepak Rathod",2
"Deepak kumar",2
"Deepankar G.",3
"Deeps",5
"Deepthi",2
"Derrick Angelsz",2
"Devanand S B",3
"Devendra Singh",2
"Devendu Sawant",3
"Devesh",3
"Dewang",2
"Dhananjay Sevalkar",2
"Dhanush",2
"Dharemesh K.",4
"Dharmendra",2
"Dharmendra kumar",8
"Dheeraj",2
"Dhinesh Sridhar",2
"Dhineshkumar",2
"Dhivakaran",2
"Dhruba Jyoti Das",2
"Dhruv Shah",2
"Diamond heart",2
"Dibya",2
"Diganta Gogoi",3
"Dileep Venigalla",2
"Dileepkumar",3
"Dilip",3
"Dimpal",2
"Dinesh",3
"Dinesh K.",2
"Dinesh jumani",2
"Dipak Sutrdhar",3
"Dipanshu Kr Biswas",2
"Dipu",2
"Divya Devkar",2
"Divya Kothari",3
"Divyansh",2
"Dona Sreekumar",3
"Done Chandra Mouli",5
"Dongay Rajasekhar Panda",2
"Dr G S Santosh",2
"Dr Sunilkumar H",6
"Dr. Gilbert Ignat",2
"Dr. Rinchin",2
"Dr.Aasif",3
"Drew Arsenic",3
"Drowna roy",2
"Durai Vignesh",4
"Durga",2
"Durvesh Sawant",2
"E.C.GEORGE",11
"E.GURUBARAN",3
"EAGLE",2
"Ehsan Ul Haq",2
"Ekant Sharma",2
"Ekta",2
"Ezaz Ashraf",2
"FH",5
"Fazil Mohamed",3
"Flora.bebo.vidyarthi",2
"G RAJAN",2
"G'DAS ENTERPRISES",2
"GHOST",5
"Gagan",2
"Gajendra Kumar sharma",2
"Ganesh",7
"Ganesh Gholap",2
"Ganesh Inguva",5
"Gangadhar",5
"Gatij saini",3
"Gaurab Chakraborty",2
"Gaurav",7
"Gaurav Chaubey",3
"Gaurav Choudhary",2
"Gauri salkar",5
"Gautham Panchavadi",2
"Geeta",2
"Ghanshyam Hemade",3
"Gigi",2
"Girish",2
"Gojo Satoru",2
"Gokul",3
"Gopal krishna rout",3
"Gopal kumar",3
"Gopalakrishnan",3
"Gopi",2
"Gopi Sahu",2
"Gopinadh.P",2
"Goutam",2
"Govind Gujarathi",3
"Gowtham",3
"Gowthami",6
"Gs7",3
"Gurpreet S.",3
"Gursewak Singh",2
"Gurujeetsingh Pardeshi",2
"HARIHARAN M",2
"HEMALATHA",7
"HIMANSHU JOSHIYARA",2
"HIREN PARMAR",2
"Haran",5
"Hari",4
"Hari Krishnan PS",3
"Hari Prasad P",2
"HariBol ❤",3
"Harindra",5
"Harish",3
"Harish Thakkar",2
"Harmit",2
"Haroon sayeed",2
"Harsh",3
"Harsh Kumar Shrivastava",2
"Harsha",7
"Harshal Mehta",2
"Harshit",2
"Harshitha",3
"Hasibul seikh",2
"Hem Roy",2
"Hemant",2
"Hemanth J.",2
"Hemavaraprasad",2
"Himanshu",8
"Himanshu Goel",7
"Himanshu Yogi",2
"Himon Roy",4
"Hitender singh",2
"Hremant",3
"Hrishikesh",3
"Hritik jain",4
"IBRAHIM S",3
"IQ",2
"Imran",2
"Indro",3
"Ishwar Singh Sankhla",2
"It's Me Swaraj ...",3
"J vasanth",3
"J.S.",2
"JAGWINDER SINGH",2
"JAIDEV CHOUDHARY",4
